epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,767.86,1.07464,0.64107,1.19702,0.95449,0.90388,0.95055,0.6057,1.63171,0.64814,1.71318,0.050411,0.000249191,0.000249191
2,1636.89,1.01914,0.5648,1.17667,0.94859,0.91251,0.95425,0.59278,1.65956,0.64618,1.72611,0.000657961,0.000496149,0.000496149
3,2321.97,1.0212,0.56417,1.17341,0.95524,0.90246,0.95082,0.58562,1.68325,0.66786,1.73506,0.000487886,0.000487886,0.000487886
4,3027.47,1.02463,0.55366,1.16551,0.95335,0.89115,0.94719,0.57966,1.69263,0.6816,1.72584,0.000473024,0.000473024,0.000473024
5,3905.89,1.001,0.53128,1.16311,0.94098,0.89991,0.94241,0.56358,1.72937,0.68922,1.76214,0.000452732,0.000452732,0.000452732
6,4565.17,0.88296,0.3846,1.13766,0.95634,0.8931,0.95025,0.57731,1.67278,0.66665,1.72652,0.000427509,0.000427509,0.000427509
7,5242.44,0.88108,0.37589,1.12805,0.96073,0.90006,0.95606,0.58277,1.66612,0.65639,1.73088,0.000397977,0.000397977,0.000397977
8,5773.1,0.86389,0.36465,1.12345,0.96247,0.89569,0.9551,0.57357,1.69734,0.67432,1.75291,0.000364863,0.000364863,0.000364863
9,6413.76,0.8616,0.37172,1.11829,0.95581,0.90088,0.95494,0.59325,1.64804,0.67148,1.72339,0.000328982,0.000328982,0.000328982
10,7116.05,0.85299,0.36389,1.11863,0.96532,0.89835,0.95162,0.58447,1.66743,0.69266,1.73926,0.000291218,0.000291218,0.000291218
11,7714.02,0.84492,0.35969,1.11453,0.95542,0.904,0.95038,0.58855,1.67653,0.68769,1.74334,0.0002525,0.0002525,0.0002525
12,8429.24,0.85516,0.35998,1.10821,0.96067,0.88495,0.94871,0.57803,1.6975,0.67898,1.76737,0.000213782,0.000213782,0.000213782
13,9199.42,0.84896,0.35274,1.10432,0.9627,0.90432,0.95569,0.59446,1.66404,0.66871,1.74286,0.000176018,0.000176018,0.000176018
14,9994.18,0.84995,0.35232,1.10234,0.96028,0.90898,0.95495,0.6012,1.64808,0.67088,1.72952,0.000140137,0.000140137,0.000140137
15,10781.8,0.86164,0.35358,1.1175,0.95861,0.90221,0.95237,0.5852,1.67956,0.67628,1.75338,0.000107023,0.000107023,0.000107023
16,11404.5,0.83744,0.35164,1.10419,0.95861,0.90646,0.95534,0.58853,1.67039,0.67512,1.74632,7.74911e-05,7.74911e-05,7.74911e-05
17,12136,0.84525,0.35403,1.10501,0.95881,0.90621,0.95454,0.58874,1.66977,0.67811,1.74617,5.22683e-05,5.22683e-05,5.22683e-05
18,12918.5,0.84135,0.34738,1.10258,0.96234,0.90566,0.95537,0.58845,1.66878,0.67825,1.74705,3.19759e-05,3.19759e-05,3.19759e-05
19,13611.4,0.85578,0.3556,1.10955,0.9635,0.90621,0.95621,0.58895,1.66875,0.67836,1.74599,1.71135e-05,1.71135e-05,1.71135e-05
20,14241,0.84409,0.34882,1.11143,0.96135,0.9058,0.95585,0.59229,1.66355,0.67317,1.74238,8.04714e-06,8.04714e-06,8.04714e-06
