epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1381.33,2.42738,3.1941,1.73205,0.38709,0.56874,0.38528,0.16232,1.93037,1.85338,1.52378,0.00332708,0.00332708,0.00332708
2,2240.57,2.0114,1.92215,1.42901,0.3231,0.57149,0.31959,0.11749,2.21654,1.93614,1.61624,0.00659447,0.00659447,0.00659447
3,3048.12,2.0156,1.95178,1.41168,0.19076,0.37211,0.14566,0.04208,2.86102,2.62993,1.97901,0.00979587,0.00979587,0.00979587
4,3974.09,2.04984,2.023,1.42348,0.2968,0.5047,0.28581,0.09804,2.3374,2.0888,1.67479,0.009703,0.009703,0.009703
5,4990.8,1.97304,1.87207,1.3914,0.37921,0.61892,0.36207,0.13104,2.21762,1.71412,1.55908,0.009604,0.009604,0.009604
6,5818.85,1.92943,1.77441,1.37187,0.34113,0.65324,0.37179,0.13653,2.33475,1.81444,1.63114,0.009505,0.009505,0.009505
7,6715.36,1.85934,1.66949,1.34896,0.37817,0.70406,0.43313,0.19805,1.91587,1.5727,1.45577,0.009406,0.009406,0.009406
8,7613.64,1.81044,1.59761,1.32619,0.36763,0.70565,0.39957,0.14764,2.22285,1.58498,1.58287,0.009307,0.009307,0.009307
9,8364.11,1.7595,1.52483,1.30201,0.42516,0.70078,0.46407,0.22363,1.77944,1.48224,1.38851,0.009208,0.009208,0.009208
10,9831.69,1.74566,1.47711,1.29157,0.42363,0.77744,0.48807,0.22626,1.84261,1.35225,1.40928,0.009109,0.009109,0.009109
11,10714.3,1.70724,1.43354,1.27454,0.42293,0.78001,0.44695,0.16528,2.19516,1.42682,1.55501,0.00901,0.00901,0.00901
12,11726.2,1.66707,1.38173,1.25164,0.43587,0.80559,0.48228,0.22014,1.87102,1.35108,1.39609,0.008911,0.008911,0.008911
