epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4007,1.38509,3.19935,1.46206,0.67372,0.45255,0.55102,0.38709,1.317,3.10022,1.29394,0.000365117,0.000365117,0.000365117
2,57.143,1.38081,2.03407,1.4651,0.67512,0.61063,0.71509,0.47571,1.4387,1.77979,1.42348,0.000711181,0.000711181,0.000711181
3,71.9662,1.36047,1.71264,1.43511,0.7469,0.64186,0.72716,0.51703,1.56194,1.85525,1.58863,0.0010328,0.0010328,0.0010328
4,86.8255,1.30811,1.64445,1.42313,0.69698,0.71106,0.78404,0.52205,1.49075,1.79572,1.48452,0.00100101,0.00100101,0.00100101
5,101.89,1.28558,1.4875,1.39963,0.65499,0.73307,0.77125,0.51937,1.45398,1.54131,1.45792,0.000964348,0.000964348,0.000964348
6,116.528,1.34797,1.52431,1.43061,0.72461,0.70093,0.76694,0.53432,1.44481,1.70875,1.41742,0.000927685,0.000927685,0.000927685
7,131.545,1.25849,1.36023,1.38606,0.90138,0.85805,0.913,0.62101,1.31001,1.10306,1.28838,0.000891022,0.000891022,0.000891022
8,146.645,1.20897,1.27924,1.33441,0.79846,0.85618,0.8687,0.60411,1.35111,1.04588,1.29813,0.000854359,0.000854359,0.000854359
9,161.165,1.24157,1.16582,1.33136,0.88644,0.86589,0.90207,0.6332,1.32234,0.90963,1.29716,0.000817696,0.000817696,0.000817696
10,175.97,1.23549,1.15717,1.3404,0.87069,0.894,0.90381,0.63772,1.31855,0.93867,1.31667,0.000781033,0.000781033,0.000781033
11,190.791,1.17077,1.15129,1.31474,0.879,0.8877,0.90187,0.60266,1.447,1.01897,1.37109,0.00074437,0.00074437,0.00074437
12,205.187,1.14212,1.09325,1.28961,0.64382,0.89185,0.88344,0.53441,1.36828,1.13542,1.30736,0.000707707,0.000707707,0.000707707
13,221.053,1.19229,1.04669,1.29892,0.89284,0.91845,0.93894,0.62701,1.37328,0.86274,1.31976,0.000671044,0.000671044,0.000671044
14,235.202,1.13767,1.04245,1.28903,0.92338,0.91625,0.94532,0.67145,1.272,0.79995,1.23122,0.000634381,0.000634381,0.000634381
15,249.768,1.17829,0.99369,1.29747,0.89688,0.92803,0.94184,0.66742,1.25122,0.78562,1.2416,0.000597718,0.000597718,0.000597718
16,263.996,1.06877,0.94877,1.25048,0.84681,0.904,0.92457,0.63582,1.32166,0.88856,1.28378,0.000561055,0.000561055,0.000561055
17,278.224,1.13247,0.94972,1.27214,0.92504,0.87512,0.92064,0.66215,1.26295,0.79851,1.23618,0.000524392,0.000524392,0.000524392
18,292.386,1.05865,0.90577,1.24464,0.88223,0.88895,0.92391,0.65773,1.26905,0.78473,1.23436,0.000487729,0.000487729,0.000487729
19,306.446,1.12089,0.91143,1.26886,0.94275,0.91746,0.94407,0.68254,1.26599,0.74421,1.23775,0.000451066,0.000451066,0.000451066
20,321.073,1.06439,0.84743,1.22512,0.91683,0.90298,0.95219,0.65165,1.26007,0.76064,1.22073,0.000414403,0.000414403,0.000414403
21,336.812,1.19419,1.06271,1.34222,0.93173,0.90663,0.93124,0.64617,1.35134,0.82143,1.31719,0.00037774,0.00037774,0.00037774
22,350.584,1.11685,0.94886,1.2931,0.94232,0.91282,0.94048,0.66947,1.23748,0.75779,1.21294,0.000341077,0.000341077,0.000341077
23,363.867,1.13817,0.90836,1.28881,0.95409,0.92303,0.93864,0.65477,1.26128,0.73528,1.23628,0.000304414,0.000304414,0.000304414
24,377.402,1.13175,0.88348,1.27846,0.93212,0.93119,0.93682,0.67241,1.21918,0.70697,1.19055,0.000267751,0.000267751,0.000267751
25,390.866,1.12525,0.83713,1.27524,0.94726,0.92399,0.9446,0.6778,1.2752,0.71504,1.23082,0.000231088,0.000231088,0.000231088
26,406.552,1.08117,0.82244,1.25778,0.94215,0.92134,0.94198,0.67427,1.24176,0.69522,1.21369,0.000194425,0.000194425,0.000194425
27,419.762,1.07079,0.79281,1.23874,0.94991,0.93458,0.94919,0.67796,1.24451,0.68374,1.20948,0.000157762,0.000157762,0.000157762
28,433.243,1.05835,0.78804,1.22914,0.9574,0.9271,0.95305,0.68873,1.21174,0.64815,1.18981,0.000121099,0.000121099,0.000121099
29,447.136,1.06154,0.76478,1.23676,0.95735,0.93367,0.95249,0.68808,1.2196,0.66844,1.19988,8.4436e-05,8.4436e-05,8.4436e-05
30,460.765,1.02593,0.7655,1.22095,0.9587,0.93836,0.94875,0.68227,1.20846,0.6688,1.19334,4.7773e-05,4.7773e-05,4.7773e-05
